,Age,Artists,Best number of players,Categories,Designer,Family,Mechanisms,Name,Number of players,Playing time,Publishers,Rating,Weight,Year
3969,14+,['Randall C. Reed'],— Best: 2,"['Arabian', 'Modern Warfare', 'Wargame']","['Seth Carus', 'Richard Hamblen', 'Randall C. Reed', 'Russell Vane']","['Admin: Better Description Needed!', 'Country: Egypt', 'Country: Israel', 'Country: Jordan', 'Country: Syria', 'History: Six-Day War', 'History: Suez Crisis', 'History: Yom Kippur War', 'Middle Eastern Theme', 'PanzerBlitz']",['Hexagon Grid'],"The Arab-Israeli Wars: Tank Battles in the Mideast, 1956-1973",2,240,['The Avalon Hill Game Co'],6.4,3.22,1977
3970,10+,"['Andrew Poole', 'David G. Watts']",— Best: 3,"['Racing', 'Trains']",['David G. Watts'],['Railway Rivals'],['Line Drawing'],Railway Rivals,2–6,90,"['Fairmount Gaming Simulations Co.', 'Games Workshop Ltd.', 'Rostherne Games']",6.7,2.33,1984
3971,12+,['Tim Allen'],— Best: 2,"['Wargame', 'World War I']",['Kirk Uhlmann'],['Continent: Europe'],"['Action Points', 'Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling']",The Lamps Are Going Out,2–4,180–240,['Compass Games'],7.5,2.80,2016
3972,6+,"['Fred Bauer', 'Sybille Engels', 'Klemens Franz']",— Best: 3–6,"['Animals', 'Dice']",['Alex Randolph'],"['Animals: Kangaroos', 'Animals: Turtles', 'Food / Cooking', 'Tropical theme']","['Dice Rolling', 'Push Your Luck', 'Roll / Spin and Move']",Mahé,2–6,20,"['Egmont Polska', 'franjos Spieleverlag', 'International Team', 'Möbius Games', ""OPEN'N PLAY"", 'Ravensburger Spieleverlag GmbH', 'Winterthur Schweizerische Versicherungs-Gesellschaft']",6.3,1.27,1974
3973,10+,['Doris Matthäus'],— Best: 3–4,"['Fantasy', 'Transportation']",['Alan R. Moon'],"['Admin: Better Description Needed!', 'Elfen Travel', 'Fairies, Elves and Pixies']",['Auction/Bidding'],Elfenroads,2–6,120,['White Wind'],7.1,2.50,1992
3974,10+,['Fábio Fontes'],— Best: none,"['Action / Dexterity', 'Fighting', 'Racing', 'Sports']","['D. Brad Talton, Jr.']","['Finger Flicking Games', 'World of Indines']","['Flicking', 'Team-Based Game', 'Variable Player Powers']",Disc Duelers,2–21,45,['Level 99 Games'],6.7,1.33,2013
3975,8+,['Johann Rüttinger'],— Best: 2,"['Animals', 'Card Game']","['Johann Rüttinger', 'Jacques Zeimet']",['Z-Man / Filosofia deluxe card game series'],"['Hand Management', 'Set Collection', 'Team-Based Game']",Sky Tango,2–4,20,"['Drei Hasen in der Abendsonne', 'AURUM, Inc.', 'Filosofia Éditions', 'Granna', 'Jolly Thinkers', 'Z-Man Games, Inc.']",6.3,1.38,2012
3976,10+,['James Ernest'],— Best: 2,"['Abstract Strategy', 'Card Game']",['James Ernest'],['Hip Pocket Games'],['Tile Placement'],The Very Clever Pipe Game,2–4,20,['Cheapass Games'],6.2,1.59,1996
3977,12+,['Harald Lieske'],— Best: 3,"['Bluffing', 'Political', 'World War I']",['Scott W. Leibbrandt'],"['Colonial Theme', 'Crowdfunding: Kickstarter']","['Action Points', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Hand Management']",Colonialism,2–4,90,['Spielworxx'],6.8,2.89,2013
3978,10+,['N/A'],— Best: 3,"['Deduction', 'Word Game']",['Chris Handy'],"['Crowdfunding: Kickstarter', 'Pack O Game']","['Cooperative Game', 'Hand Management']",SHH,2–4,10,"['One Moment Games', 'Perplext']",6.5,1.60,2015
3979,14+,"['Sébastien Brunel', 'Christophe Gentil-Perret']",— Best: 2,"['Napoleonic', 'Wargame']",['Walter Vejdovsky'],['Eagles of France series'],['Hexagon Grid'],Waterloo 1815: Fallen Eagles,1–3,60–720,['Hexasim'],8.3,2.96,2015
3980,7+,['Camille Chaussy'],— Best: 2,"['Abstract Strategy', 'Animals']",['Bruno Cathala'],"['Animals: Dinosaurs', 'Components: Miniatures']",['Grid Movement'],Jurassic Snack,2,15,"['The Flying Games', 'Funiverse', 'Lanlalen', 'Maldito Games', 'Playagame Edizioni']",6.9,1.25,2018
3981,12+,['Rodger B. MacGowan'],— Best: 1,"['Aviation / Flight', 'Modern Warfare', 'Wargame']",['Dan Verssen'],"['Leader Series', 'Solitaire Games', 'Solitaire Wargames']",['Campaign / Battle Card Driven'],Thunderbolt/Apache Leader,1,300,['GMT Games'],7.2,2.58,1991
3982,12+,['Jörn Stollmann'],— Best: 3,"['Card Game', 'Murder/Mystery', 'Real-time']",['Marco Teubner'],['N/A'],"['Action Queue', 'Cooperative Game', 'Set Collection']",Sebastian Fitzek Safehouse,2–4,30,"['Gen-X Games', 'moses. Verlag GmbH']",6.6,2.08,2017
3983,10+,"['Luis Francisco', 'Stephanie Gustafsson', 'Brandt Peters']",— Best: 7–8,"['Bluffing', 'Card Game', 'Deduction', 'Horror', 'Negotiation', 'Party Game']",['佐藤 雄介 (Yusuke Sato)'],['N/A'],"['Team-Based Game', 'Traitor Game']",Don't Mess with Cthulhu Deluxe,4–8,1–30,"['Indie Boards & Cards', 'Popcorn Games']",7.4,1.33,2018
3984,10+,"['Ralf E. Kahlert', 'Todd Wade']",— Best: 4,"['Card Game', 'Trains']",['Alan R. Moon'],['N/A'],['Set Collection'],Freight Train,2–5,90,"['Mayfair Games', 'White Wind']",6.4,2.03,1993
3985,12+,['N/A'],— Best: 2,"['Card Game', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Sports']","['Sen-Foong Lim', 'Jessey Wright']","['Crowdfunding: Kickstarter', 'Games by the Game Artisans of Canada']","['Area Majority / Influence', 'Area Movement', 'Deck, Bag, and Pool Building', 'Variable Player Powers']",The Legend of Korra: Pro-Bending Arena,2,30–45,['IDW Games'],7.7,2.10,2018
3986,8+,"['Damon S. Brown', 'Oliver Freudenreich', 'Atelier Wilinski']",— Best: 2,"['Animals', 'Card Game']",['Michael Schacht'],"['Animals: Chickens', 'Ravensburger Fun For 2 Series', 'Rummy Games']","['Hand Management', 'Set Collection']",Drive,2–4,30,"['Ravensburger Spieleverlag GmbH', 'SimplyFun']",6.5,1.27,2003
3987,8+,['Chuck Whelon'],— Best: 3–4,"['Ancient', 'Card Game', 'Farming', 'Print & Play']","['Daniel Callister', 'James Mathe']","['Country: Egypt', 'Rivers: Nile']","['Card Drafting', 'Commodity Speculation', 'Hand Management', 'Highest-Lowest Scoring']",Nile DeLuxor,2–6,30,"['Melmac Games', 'Minion Games', 'White Goblin Games']",6.6,1.53,2011
3988,7+,['Jim Paillot'],— Best: 4,"['Animals', ""Children's Game"", 'Science Fiction']",['Matt Leacock'],['Snakes and Ladders'],"['Cooperative Game', 'Point to Point Movement']",Mole Rats in Space,2–4,20,"['Peaceable Kingdom', 'Game Factory', 'GoKids 玩樂小子']",7.0,1.40,2017
