,Age,Artists,Best number of players,Categories,Designer,Family,Mechanisms,Name,Number of players,Playing time,Publishers,Rating,Weight,Year
0,12+,"['Alexandr Elichev', 'Josh T. McDowell', 'Alvaro Nebot']",— Best: 3,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']",['Isaac Childres'],"['Campaign Games', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Dungeon Crawler', 'Gloomhaven Universe', 'Legacy', 'Solitaire Games']","['Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Legacy Game', 'Modular Board', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",Gloomhaven,1–4,60–120,"['Cephalofair Games', 'Albi', 'Asmodee', 'Feuerland Spiele', 'Games Warehouse', 'Gém Klub Kft.', 'Hobby World', 'Korea Boardgames co., Ltd.', 'MYBG Co., Ltd.']",8.8,3.82,2017
1,13+,['Chris Quilliams'],— Best: 4,"['Environmental', 'Medical']","['Rob Daviau', 'Matt Leacock']","['Campaign Games', 'Legacy', 'Pandemic']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",Pandemic Legacy: Season 1,2–4,60,"['Z-Man Games, Inc.', 'Asterion Press', 'Devir', 'Filosofia Éditions', 'Gém Klub Kft.', 'Hobby Japan', 'Jolly Thinkers', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Lifestyle Boardgames Ltd', 'MINDOK']",8.6,2.83,2015
2,12+,['Isaac Fryxelius'],— Best: 3,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']",['Jacob Fryxelius'],"[""Fryxgames' Future Timeline"", 'Planets: Mars', 'Solar System', 'Solitaire Games', 'Tableau Building', 'Terraforming Mars']","['Card Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']",Terraforming Mars,1–5,120,"['FryxGames', 'Arclight', 'Fantasmagoria', 'Ghenos Games', 'Intrafin Games', 'Kilogames', 'Korea Boardgames co., Ltd.', 'Lautapelit.fi', 'Lavka Games', 'Lex Games', 'Maldito Games', 'Meeple BR Jogos', 'MINDOK', 'MYBG Co., Ltd.', 'NeoTroy Games', 'Rebel', 'Reflexshop', 'Schwerkraft-Verlag', 'Siam Board Games', 'Stronghold Games']",8.4,3.23,2016
3,14+,"['Lina Cossette', 'David Forest', 'Damien Mammoliti']",— Best: 3–4,"['Economic', 'Industry / Manufacturing', 'Transportation']","['Gavan Brown', 'Matt Tolman', 'Martin Wallace']","['Beer', 'Brass', 'Cities: Birmingham (England)', 'Country: England', 'Crowdfunding: Kickstarter', 'Industrial Revolution']","['Connections', 'Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Setup']",Brass: Birmingham,2–4,60–120,"['Roxley', 'BoardM Factory', 'Conclave Editora', 'CrowD Games', 'Funforge', 'Ghenos Games', 'Giant Roc', 'Maldito Games', 'PHALANX']",8.6,3.92,2018
4,14+,"['Filip Murmak', 'Radim Pech', 'Jakub Politzer', 'Milan Vavroň']",— Best: 3,"['Card Game', 'Civilization', 'Economic']",['Vlaada Chvátil'],"['Tableau Building', 'Through the Ages']","['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Card Drafting', 'Income']",Through the Ages: A New Story of Civilization,2–4,120,"['Czech Games Edition', 'Cranio Creations', 'Devir', 'DiceTree Games', 'Eagle-Gryphon Games', 'GaGa Games', 'Gém Klub Kft.', 'HeidelBÄR Games', 'Heidelberger Spieleverlag', 'IELLO', 'MINDOK', 'One Moment Games', 'Rebel']",8.5,4.39,2015
5,14+,['Scott Schomburg'],— Best: 6,"['Civilization', 'Economic', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen']","['4X games', 'Components: Miniatures', 'Twilight Imperium']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Modular Board', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Voting']",Twilight Imperium (Fourth Edition),3–6,240–480,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Arclight', 'Asmodee', 'Asterion Press', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Hobby World', 'Playfun Games']",8.7,4.21,2017
6,13+,"['Viktor Csete', 'Rodger B. MacGowan', 'Chechu Nieto', 'Guillaume Ries', 'Mark Simonitch']",— Best: 2,"['Modern Warfare', 'Political', 'Wargame']","['Ananda Gupta', 'Jason Matthews']","['Cold War', 'Country: Soviet Union', 'Country: USA', ""Decades: 50's"", ""Decades: 60's"", ""Decades: 70's"", ""Decades: 80's"", 'Historical Figures: Fidel Castro', 'Twilight Struggle']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Tug of War']",Twilight Struggle,2,120–180,"['GMT Games', '(Self-Published)', 'Asterion Press', 'Bard Centrum Gier', 'Chrononauts Games', 'Devir', 'DiceTree Games', 'GaGa Games', 'MINDOK', 'PHALANX', 'Udo Grebe Gamedesign', 'Wargames Club Publishing']",8.3,3.57,2005
7,14+,"['Matt Allsopp', 'David Ardila', 'Balaskas', 'Tiziano Baracchi', 'Ryan Barger', 'Jorge Barrero', 'Cassandre Bolan', 'Jon Bosco', 'Matt Bradbury', 'Adam Burn', 'Alexandre Dainche', 'Christina Davis', 'Anthony Devine', 'Allen Douglas', 'Jose Mikhail Elloso', 'Tony Foti', 'Michele Frigo', 'Mariusz Gandzel', 'Zach Graves', 'Richard Hanuschek', 'Christopher Hosch', 'Andrew Johanson', 'Jeff Lee Johnson', 'Jason Juta', 'Adam Lane', 'Ignacio Bazán Lazcano', 'Ralph McQuarrie', 'Mark Molnar', 'Jake Murray', 'Ameen Naksewee', 'David Auden Nash', 'Mike Nash', 'Maciej Rebisz', 'Alexandru Sabo', 'Tony Shasteen', 'Samuel Shimota', 'Stephen Somers', 'Matthew Starbuck', 'Nicholas Stohlman', 'Angela Sung', 'Darren Tan', 'Ryan Valle', 'Jose Vega', 'VIKO', 'Magali Villeneuve', 'Jacob Walker', 'Ben Zweifel']",— Best: 2,"['Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",['Corey Konieczka'],"['Components: Miniatures', 'Star Wars']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']",Star Wars: Rebellion,2–4,180–240,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Asterion Press', 'Delta Vision Publishing', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Heidelberger Spieleverlag', 'Hobby World']",8.4,3.70,2016
8,12+,['Dennis Lohausen'],— Best: 3–4,"['Civilization', 'Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Jens Drögemüller', 'Helge Ostertag']","['Solitaire Games', 'Tableau Building', 'Terra Mystica']","['Area Majority / Influence', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']",Gaia Project,1–4,60–150,"['Feuerland Spiele', 'Cranio Creations', 'DiceTree Games', 'Edge Entertainment', 'Game Harbor', 'Games Factory', 'Hobby World', 'Maldito Games', 'Mandala Jogos', 'Reflexshop', 'テンデイズゲームズ (Ten Days Games)', 'White Goblin Games', 'Z-Man Games, Inc.']",8.5,4.32,2017
9,12+,"['Alexander Pfister', 'Andreas Resch']",— Best: 3,"['American West', 'Animals']",['Alexander Pfister'],"['Animals: Cattle', 'Great Western Trail', 'Stronghold Games: The Great Designers Series']","['Deck, Bag, and Pool Building', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Variable Setup']",Great Western Trail,2–4,75–150,"['eggertspiele', '999 Games', 'Arclight', 'Broadway Toys LTD', 'Conclave Editora', 'Delta Vision Publishing', 'Ediciones MasQueOca', 'Gigamic', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Ludicus', 'MINDOK', 'Pegasus Spiele', 'Plan B Games', 'Stronghold Games', 'uplay.it edizioni', 'Zvezda']",8.3,3.69,2016
10,14+,['Jakub Rozalski'],— Best: 4,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']",['Jamey Stegmaier'],"['Components: Miniatures', 'Crowdfunding: Kickstarter', 'History: Alternate History', 'Scythe', 'Solitaire Games', 'Tableau Building']","['Area Majority / Influence', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Moving Multiple Units', 'Narrative Choice / Paragraph', 'Race', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",Scythe,1–5,90–115,"['Stonemaier Games', 'Albi', 'Angry Lion Games', 'Arclight', 'CrowD Games', 'Delta Vision Publishing', 'Feuerland Spiele', 'Fire on Board Jogos', 'Ghenos Games', 'Ludofy Creative', 'Maldito Games', 'Matagot', 'Morning', 'PHALANX', 'Playfun Games']",8.3,3.39,2016
11,13+,"['John Howe', 'Fabio Maiorana']",— Best: 2,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame']","['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['Authors: J.R.R. Tolkien', 'Components: Miniatures', 'Monsters', 'War of the Ring']","['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Hand Management', 'Hidden Movement', 'Team-Based Game']",War of the Ring (Second Edition),2–4,150–180,"['Ares Games', 'Angry Lion Games', 'Devir', 'GaGa Games', 'Galakta', 'Heidelberger Spieleverlag', 'Planplay', 'Red Glove', 'Sophisticated Games', 'Zhiyanjia']",8.5,4.08,2012
12,13+,"['Jason Behnke', 'Kat G Bermelin', 'Loïc Billiau', 'Cari Corene', 'Lucas Durham', 'Rocky Hammer', 'Sydni Kruger', 'Nolan Nasser', 'Jorge Ramos', 'Adam Rebottaro', 'Moro Rogers', 'Graham Sternberg', 'Shane Tyree', 'Joshua Wright (I)']",— Best: 2,"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building']",['R. Eric Reuss'],"['Colonial Theme', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Solitaire Games', 'Spirit Island']","['Action Retrieval', 'Area Majority / Influence', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",Spirit Island,1–4,90–120,"['Greater Than Games', 'Ace Studios', 'Arrakis Games', 'BoardM Factory', 'Gém Klub Kft.', 'Ghenos Games', 'Hobby World', 'Intrafin Games', 'Lacerta', 'Pegasus Spiele']",8.3,3.95,2017
13,12+,['Dennis Lohausen'],— Best: 4,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['Jens Drögemüller', 'Helge Ostertag']","['Tableau Building', 'Terra Mystica']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']",Terra Mystica,2–5,60–150,"['Feuerland Spiele', 'Bard Centrum Gier', 'Cranio Creations', 'Devir', 'Filosofia Éditions', 'FunBox Jogos', 'Gém Klub Kft.', 'HomoLudicus', 'Mandala Jogos', 'MINDOK', 'Swan Panasia Co., Ltd.', 'テンデイズゲームズ (Ten Days Games)', 'White Goblin Games', 'Z-Man Games, Inc.', 'Zvezda']",8.2,3.95,2012
14,12+,"['Julien Delval', 'Harald Lieske']",— Best: 2,"['Dice', 'Medieval', 'Territory Building']",['Stefan Feld'],"['Alea Big Box', 'The Castles of Burgundy', 'Country: France', 'Region: Burgundy (France)', 'Tableau Building']","['Dice Rolling', 'Hexagon Grid', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement with Dice Workers']",The Castles of Burgundy,2–4,30–90,"['alea', 'Ravensburger Spieleverlag GmbH', 'Broadway Toys LTD', 'Giochi Uniti', 'Grow Jogos e Brinquedos', 'Hobby World', 'Maldito Games', 'Rebel']",8.1,3.00,2011
15,10+,['Miguel Coimbra'],— Best: 2,"['Ancient', 'Card Game', 'City Building', 'Civilization']","['Antoine Bauza', 'Bruno Cathala']","['7 Wonders', '7 Wonders Duel', 'Tableau Building']","['Card Drafting', 'Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War']",7 Wonders Duel,2,30,"['Repos Production', 'ADC Blackfire Entertainment', 'Asterion Press', 'Galápagos Jogos', 'Gém Klub Kft.', 'Kaissa Chess & Games', 'Lautapelit.fi', 'Lifestyle Boardgames Ltd', 'Ludicus', 'Ponva d.o.o.', 'Pridemage Games', 'Rebel', 'Siam Board Games', 'Sombreros Production']",8.1,2.22,2015
16,13+,"['Marina Fahrenbach', 'Mac Gerdts', 'Dominik Mayer']",— Best: 4,"['Ancient', 'Economic', 'Nautical']",['Mac Gerdts'],"['Ancient: Rome', 'Concordia']","['Action Retrieval', 'Advantage Token', 'Card Drafting', 'Command Cards', 'Deck, Bag, and Pool Building', 'Movement Points', 'Moving Multiple Units', 'Point to Point Movement', 'Variable Setup']",Concordia,2–5,100,"['PD-Verlag', '999 Games', 'Cranio Creations', 'CrowD Games', 'Ediciones MasQueOca', 'Egmont Polska', 'Gém Klub Kft.', 'Heidelberger Spieleverlag', 'Korea Boardgames co., Ltd.', 'Lex Games', 'New Games Order, LLC', 'Playfun Games', 'Rio Grande Games', 'Ystari Games']",8.1,3.05,2013
17,14+,['Ludovic Roudy'],— Best: 1–2,"['Adventure', 'Card Game', 'Exploration', 'Science Fiction']","['Ludovic Roudy', 'Bruno Sautter']","['The 7th Continent', 'Campaign Games', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Solitaire Games']","['Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Addition', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",The 7th Continent,1–4,5–1000,"['Serious Poulp', 'Pegasus Spiele']",8.3,2.87,2017
18,14+,"['Lina Cossette', 'Peter Dennis', 'David Forest', 'Eckhard Freytag', 'Damien Mammoliti']",— Best: 4,"['Economic', 'Industry / Manufacturing', 'Transportation']",['Martin Wallace'],"['Brass', 'Cities: Manchester (England)', 'Country: England', 'Industrial Revolution']","['Hand Management', 'Income', 'Loans', 'Network and Route Building']",Brass: Lancashire,2–4,60–120,"['Roxley', 'Warfrog Games', 'BoardM Factory', 'Conclave Editora', 'CrowD Games', 'Eagle-Gryphon Games', 'FRED Distribution, Inc.', 'Funforge', 'Ghenos Games', 'Maldito Games', 'Pegasus Spiele', 'PHALANX', 'Wargames Club Publishing', 'White Goblin Games']",8.2,3.86,2007
19,14+,"['Christopher Hosch', 'Marcin Jakubowski', 'Ignacio Bazán Lazcano', 'Henning Ludvigsen', 'Mercedes Opheim', 'Zoe Robinson', 'Evan Simonet']",— Best: 2,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']","['Nate French', 'Matthew Newman']","['Arkham Horror Files', 'Arkham Horror: The Card Game LCG', 'Campaign Games', 'Cthulhu Mythos', 'Living Card Game', 'Solitaire Games']","['Action Points', 'Cooperative Game', 'Hand Management', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']",Arkham Horror: The Card Game,1–2,60–120,"['Fantasy Flight Games', 'Arclight', 'Asmodee', 'Asterion Press', 'Edge Entertainment', 'Galakta', 'Heidelberger Spieleverlag', 'Hobby World', 'Korea Boardgames co., Ltd.', 'Ігромаг']",8.2,3.36,2016
20,13+,"['Jacqui Davis', 'David Montgomery', 'Beth Sobel']",— Best: 3–4,"['Economic', 'Farming']","['Morten Monrad Pedersen', 'Jamey Stegmaier', 'Alan Stone']","['Country: Italy', 'Farming', 'Solitaire Games', 'Theme: Wine', 'Viticulture']","['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Worker Placement', 'Worker Placement, Different Worker Types']",Viticulture Essential Edition,1–6,45–90,"['Stonemaier Games', '(Unknown)', 'Angry Lion Games', 'Arclight', 'Delta Vision Publishing', 'Feuerland Spiele', 'Ghenos Games', 'Lavka Games', 'Ludofy Creative', 'Maldito Games', 'Matagot']",8.1,2.92,2015
21,10+,"['Ana Maria Martinez Jaramillo', 'Natalia Rojas', 'Beth Sobel']",— Best: 3,"['Animals', 'Card Game', 'Economic', 'Educational']",['Elizabeth Hargrave'],"['Animals: Birds', 'Animals: Crows', 'Animals: Ducks', 'Animals: Geese', 'Animals: Owls', 'Animals: Turkeys', 'Biology', 'Game Trayz Inside', 'Nature Games', 'Solitaire Games', 'Tableau Building', 'Wingspan']","['Card Drafting', 'Dice Rolling', 'Drafting', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game']",Wingspan,1–5,40–70,"['Stonemaier Games', '999 Games', 'Angry Lion Games', 'Delta Vision Publishing', 'Divercentro', 'Feuerland Spiele', 'Ghenos Games', 'Lavka Games', 'Ludofy Creative', 'Maldito Games', 'Matagot', 'MINDOK', 'Rebel', 'Regatul Jocurilor', 'Siam Board Games', ""Surfin' Meeple"", ""Surfin' Meeple China""]",8.1,2.36,2019
22,12+,"['Harald Lieske', 'Franz Vohwinkel']",— Best: 4,"['City Building', 'Economic', 'Farming']",['Andreas Seyfarth'],"['Alea Big Box', 'Colonial Theme', 'Country: Puerto Rico', 'Puerto Rico', 'Tableau Building', 'Tropical theme']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive', 'Variable Phase Order']",Puerto Rico,3–5,90–150,"['alea', 'Ravensburger Spieleverlag GmbH', 'Devir', 'Filosofia Éditions', 'Kaissa Chess & Games', 'Lacerta', 'Lautapelit.fi', 'MINDOK', 'Rio Grande Games', 'Stratelibri', 'Swan Panasia Co., Ltd.', 'Tilsit']",8.0,3.28,2002
23,12+,['Dennis Lohausen'],— Best: 3,"['Economic', 'Industry / Manufacturing', 'Medieval', 'Puzzle']",['Uwe Rosenberg'],"['A Feast for Odin', 'Admin: Better Description Needed!', 'Country: Iceland', 'Food / Cooking', 'Harvest Series', 'Polyominoes', 'Solitaire Games', 'Vikings']","['Automatic Resource Growth', 'Dice Rolling', 'Grid Coverage', 'Income', 'Push Your Luck', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']",A Feast for Odin,1–4,30–120,"['Feuerland Spiele', 'Cranio Creations', 'Devir', 'Filosofia Éditions', 'Game Harbor', 'Hobby World', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Mandala Jogos', 'テンデイズゲームズ (Ten Days Games)', 'White Goblin Games', 'Z-Man Games, Inc.']",8.2,3.84,2016
24,14+,"['J. Lonnee', 'Chris Raimo', 'Milan Vavroň']",— Best: 1–2,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']",['Vlaada Chvátil'],"['Clix', 'Components: Miniatures', 'Mage Knight Universe', 'Solitaire Games']","['Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']",Mage Knight Board Game,1–4,60–240,"['WizKids', 'Asmodee', 'Giochi Uniti', 'Intrafin Games', 'Lacerta', 'NECA', 'Pegasus Spiele', 'REXhry']",8.1,4.29,2011
25,12+,['Klemens Franz'],— Best: 4,"['Medieval', 'Religious', 'Travel']",['Reiner Stockhausen'],"['Cities: Orléans (France)', 'Country: France', 'Crowdfunding: Kickstarter', 'Crowdfunding: Wspieram', 'Orléans']","['Deck, Bag, and Pool Building', 'Point to Point Movement', 'Turn Order: Progressive', 'Worker Placement']",Orléans,2–4,90,"['dlp games', 'Angry Lion Games', 'Arclight', 'Arrakis Games', 'Baldar', 'Cranio Creations', 'GaGa Games', 'Matagot', 'Meeple BR Jogos', ""Surfin' Meeple China"", 'Swan Panasia Co., Ltd.', 'Tasty Minstrel Games', 'White Goblin Games']",8.1,3.06,2014
26,12+,['Klemens Franz'],— Best: 4,"['Animals', 'Economic', 'Fantasy', 'Farming']",['Uwe Rosenberg'],"['Animals: Cattle', 'Animals: Dogs', 'Animals: Donkeys', 'Animals: Sheep', 'Caverna', 'Farming', 'Harvest Series', 'Mining', 'Solitaire Games']","['Automatic Resource Growth', 'Increase Value of Unchosen Resources', 'Tile Placement', 'Turn Order: Claim Action', 'Worker Placement']",Caverna: The Cave Farmers,1–7,30–210,"['Lookout Games', '999 Games', 'CrowD Games', 'Devir', 'Filosofia Éditions', 'Funforge', 'Gemenot', 'Hobby Japan', 'HomoLudicus', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Ludofy Creative', 'Mayfair Games', 'MINDOK', 'Swan Panasia Co., Ltd.', 'uplay.it edizioni']",8.0,3.78,2013
27,14+,"['Iris de Haan', 'Ynze Moedt']",— Best: 3–4,"['Economic', 'Industry / Manufacturing']","['Jeroen Doumen', 'Joris Wiersinga']","[""Decades: 50's"", 'Food / Cooking']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Income', 'Market', 'Modular Board', 'Network and Route Building', 'Simultaneous Action Selection']",Food Chain Magnate,2–5,120–240,"['Splotter Spellen', 'Angry Lion Games', 'New Games Order, LLC', 'One Moment Games']",8.2,4.20,2015
28,12+,['Klemens Franz'],— Best: 3–4,"['Animals', 'Economic', 'Farming']",['Uwe Rosenberg'],"['Agricola', 'Animals: Cattle', 'Animals: Horses', 'Animals: Pigs', 'Animals: Sheep', 'Farming', 'Harvest Series', 'Solitaire Games', 'Tableau Building']","['Action Drafting', 'Advantage Token', 'Automatic Resource Growth', 'Card Drafting', 'Enclosure', 'Hand Management', 'Increase Value of Unchosen Resources', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers', 'Worker Placement']",Agricola,1–5,30–150,"['Lookout Games', '999 Games', 'Brain Games', 'Compaya.hu - Gamer Café Kft.', 'Devir', 'Filosofia Éditions', 'Funforge', 'Hobby Japan', 'Hobby World', 'HomoLudicus', 'Korea Boardgames co., Ltd.', 'Lacerta', 'MINDOK', 'Smart Ltd', 'Stratelibri', 'Swan Panasia Co., Ltd.', 'Ystari Games', 'Z-Man Games, Inc.']",8.0,3.64,2007
29,14+,"['Cristi Balanescu', 'Yoann Boissonnet', 'Anders Finér', 'Tony Foti', 'Corey Konieczka', 'Jacob Murray', 'Magali Villeneuve']",— Best: 3–4,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures', 'Murder/Mystery', 'Puzzle']",['Nikki Valens'],"['Arkham Horror Files', 'Components: Miniatures', 'Cthulhu Mythos', 'Digital Hybrid, App Required', 'Dungeon Crawler', 'Mansions of Madness', 'Solitaire Games']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Variable Player Powers']",Mansions of Madness: Second Edition,1–5,120–180,"['Fantasy Flight Games', 'Arclight', 'Asterion Press', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Heidelberger Spieleverlag', 'Hobby World', 'Korea Boardgames co., Ltd.']",8.1,2.67,2016
30,14+,"['Henning Ludvigsen', 'Mike McVey', 'Adrian Smith']",— Best: 4,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']",['Eric M. Lang'],"['Blood Rage', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Vikings']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Card Drafting', 'Hand Management', 'Memory', 'Simultaneous Action Selection']",Blood Rage,2–4,60–90,"['CMON Limited', 'Arclight', 'Asmodee', 'Asterion Press', 'BoardM Factory', 'CrowD Games', 'Delta Vision Publishing', 'Edge Entertainment', 'Fantasmagoria', 'Galápagos Jogos', 'Game Harbor', 'Guillotine Games', 'Portal Games', 'REXhry']",8.0,2.87,2015
31,17+,"['Zeen Chin', 'Lokman Lam', 'Lorinda Tomko']",— Best: 4,"['Adventure', 'Fantasy', 'Horror', 'Mature / Adult', 'Miniatures', 'Mythology']",['Adam Poots'],"['Campaign Games', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Kingdom Death', 'Solitaire Games']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling']",Kingdom Death: Monster,1–4,60–180,['Kingdom Death'],8.7,4.22,2015
32,14+,"['Atha Kanaani', 'Chris Quilliams']",— Best: 4,"['Environmental', 'Exploration', 'Medical']","['Rob Daviau', 'Matt Leacock']","['Campaign Games', 'Legacy', 'Pandemic', 'Post-Apocalyptic']","['Cooperative Game', 'Hand Management', 'Legacy Game', 'Pick-up and Deliver', 'Point to Point Movement', 'Set Collection', 'Variable Player Powers']",Pandemic Legacy: Season 2,2–4,60,"['Z-Man Games, Inc.', 'Asmodee', 'Devir', 'Gém Klub Kft.', 'Hobby Japan', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Lifestyle Boardgames Ltd']",8.2,3.25,2017
33,10+,['Kyle Ferrin'],— Best: 4,"['Animals', 'Fantasy', 'Wargame']",['Cole Wehrle'],"['Animals: Birds', 'Animals: Cats', 'Animals: Foxes', 'Animals: Mice', 'Animals: Rabbits', 'Animals: Raccoon', 'Crowdfunding: Kickstarter', 'Root']","['Action Queue', 'Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Race', 'Variable Player Powers']",Root,2–4,60–90,"['Leder Games', '2Tomatoes', 'CrowD Games', 'Fox in the Box', 'Korea Boardgames co., Ltd.', 'Matagot', 'Meeple BR Jogos', 'MS Edizioni', 'Portal Games', 'Quality Beast', 'YOKA Games']",8.1,3.60,2018
34,12+,"['Domonkos Bence', 'Antonio Dessi', 'Lars-Arne ""Maura"" Kalusky', 'Prapach Lapamnuaysap', 'Harald Lieske']",— Best: 4–5,"['Economic', 'Industry / Manufacturing']",['Friedemann Friese'],"['Country: Germany', 'Country: USA', 'Power Grid', 'Tableau Building']","['Auction/Bidding', 'Auction: Turn Order Until Pass', 'Catch the Leader', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']",Power Grid,2–6,120,"['2F-Spiele', '999 Games', 'Albi', 'Arclight', 'Brain Games', 'Edge Entertainment', 'Galápagos Jogos', 'Gém Klub Kft.', 'Giochi Uniti', 'Hobby World', 'Ideal Board Games', 'Kaissa Chess & Games', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Lautapelit.fi', 'Rio Grande Games', 'Runadrake', 'Siam Board Games', 'Smart Ltd', 'Stratelibri', 'Swan Panasia Co., Ltd.']",7.9,3.27,2004
